Time, Sensor 3, Sensor 2, Sensor 1, Sensor 0, 
60,,,,,
1,60, ,60,108,
3,108, ,108,146.4,
5,146.4, ,146.4,177.12,
8,177.12, ,177.12,201.7,
10,201.7, ,201.7,221.36,
12,221.36, ,221.36,237.09,
15,237.09, ,237.09,249.67,
17,249.67, ,249.67,259.73,
19,259.73, ,259.73,279.87,
21,279.87, ,279.87,289.93,
24,289.93, ,289.93,294.97,
26,294.97, ,294.97,297.48,
28,297.48, ,297.48,298.74,
31,298.74, ,298.74,299.37,
33,299.37,60, ,299.69,
36,299.69,108, ,299.84,
38,299.84,146.4, ,299.92,
41,299.92,177.12, ,299.96,
44,299.96,201.7, ,299.98,
47,299.98,221.36, ,299.99,
49,299.99,237.09, ,300,
52,300,249.67, ,300,
54,300,259.73, ,300,
57,300,279.87, ,300,
59,300,289.93, ,300,
62,300,294.97, ,300,
64,300,297.48, ,300,
67,300,298.74, ,300,
69,300,299.37,299.37, ,
72,300,299.69,299.69,251.51,
75, ,299.84,299.84,212.72,
77, ,299.92,299.92,181.68,
80, ,299.96,299.96,156.85,
82, ,299.98,299.98,136.99,
86, ,299.99,299.99,121.1,
88, ,300,300,108.39,
91, ,300,300,98.22,
93, ,300,300,77.88,
95, ,300,300,67.71,
98, ,300,300,62.63,
100, ,300,300,60.09,
103, ,300,300,58.82,
105, ,300,300,58.18,
108, ,300,300,57.86,
110,300, ,300,57.7,
113,300, ,300,57.62,
115,300, ,300,57.58,
118,300, ,300,57.56,
120,300, ,300,57.55,
123,300, ,300,57.55,
125,300, ,300,57.55,
129,300, ,300,57.55,
131,300, ,300,57.54,
134,300, ,300,57.54,
136,300, ,300,57.54,
139,300, ,300,57.54,
141,300, ,300,57.54,
144,300,300, ,57.54,
146,300,300, ,57.54,
149,300,300, ,57.54,
151,300,300, ,57.54,
154,300,300, ,57.54,
156,300,300, ,57.54,
159,300,300, ,57.54,
161,300,300, ,57.54,
163,300,300, ,57.54,
166,300,300, ,57.54,
168,300,300, ,57.54,
172,300,300, ,57.54,
174,300,300, ,57.54,
177,300,300, ,57.54,
179,300,300,300, ,
182,300,300,300, ,
185,300,300,300, ,
187,300,300,300, ,
190,300,300,300, ,
192,300,300,300, ,
195,300,300,300, ,
197,300,300,300, ,
200,300,300,300, ,
203,300,300,300, ,
205,300,300,300, ,
208,300,300,300, ,
210,300,300,300, ,
214,300,300,300,57.54,
217, ,300,300,57.54,
219, ,300,300,57.54,
222, ,300,300,57.54,
224, ,300,300,57.54,
227, ,300,300,57.54,
229, ,300,300,57.54,
232, ,300,300,57.54,
234, ,300,300,57.54,
237, ,300,300,57.54,
239, ,300,300,57.54,
242, ,300,300,57.54,
244, ,300,300,57.54,
247, ,300,300,57.54,
249, ,300,300,57.54,
252,300, ,300,57.54,
254,300, ,300,57.54,
